population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	478	478	0	18029	3561	14468	35.0	19838.66013191818	91360.40616946017	127	160	3435	189	5	50.1
US	382	382	0	11612	2339	9273	24.6	19838.66013191818	91360.40616946017	91	81	2249	99	4	17.2
AG	229	229	0	17237	3364	13873	18.3	19838.66013191818	91360.40616946017	122	147	3242	166	6	43.4
Israel	226	226	0	11312	2210	9102	15.9	19838.66013191818	91360.40616946017	85	71	2126	128	4	13.0
Denmark	193	193	0	11604	2330	9274	14.6	19838.66013191818	91360.40616946017	89	78	2242	96	4	15.1
Netherlands	161	161	0	11904	2450	9454	13.9	19838.66013191818	91360.40616946017	93	85	2358	92	3	17.5
Spain	118	118	0	11827	2390	9437	11.9	19838.66013191818	91360.40616946017	93	85	2298	77	3	17.7
SW	115	115	0	11086	2087	8999	12.2	19838.66013191818	91360.40616946017	78	60	2009	30	1	11.9
Sweden	112	112	0	11459	2313	9146	12.0	19838.66013191818	91360.40616946017	89	78	2225	126	2	15.0
Fiji	109	109	0	12049	2289	9760	12.1	19838.66013191818	91360.40616946017	87	74	2203	22	3	15.1
UK	106	106	0	11959	2451	9508	11.2	19838.66013191818	91360.40616946017	95	89	2357	83	4	17.1
DM	100	100	0	17755	3474	14281	13.0	19838.66013191818	91360.40616946017	128	162	3346	146	4	48.8
KY	90	90	0	15383	3046	12337	9.5	19838.66013191818	91360.40616946017	118	138	2928	79	2	34.9
Austria	66	66	0	12076	2480	9596	8.2	19838.66013191818	91360.40616946017	93	85	2388	73	3	14.6
Germany	59	59	0	12032	2465	9567	8.0	19838.66013191818	91360.40616946017	96	91	2369	105	5	16.7
GH	52	52	0	18800	3482	15318	8.4	19838.66013191818	91360.40616946017	129	165	3354	93	4	56.4
BF	42	42	0	18052	3312	14740	7.7	19838.66013191818	91360.40616946017	124	152	3188	37	5	48.8
Kazakhstan	38	38	0	10403	1872	8531	5.7	19838.66013191818	91360.40616946017	72	51	1800	0	0	9.7
France	29	29	0	11885	2288	9597	6.0	19838.66013191818	91360.40616946017	89	78	2200	89	2	15.8
