population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
US	170	170	0	29534	7294	22240	11.4	6935.857419972427	31940.8038047213	107	113	7188	52	5	39.8
AG	166	166	0	25675	6356	19319	8.9	6935.857419972427	31940.8038047213	94	87	6262	19	2	26.2
China	135	135	0	31401	7591	23810	11.3	6935.857419972427	31940.8038047213	113	126	7479	157	8	46.7
UK	90	90	0	31628	7682	23946	8.7	6935.857419972427	31940.8038047213	115	131	7568	157	5	48.1
Israel	88	88	0	31067	7575	23492	8.3	6935.857419972427	31940.8038047213	114	128	7461	155	5	46.9
Denmark	78	78	0	32153	7828	24325	8.5	6935.857419972427	31940.8038047213	119	140	7710	151	6	52.5
SW	65	65	0	31626	7738	23888	8.0	6935.857419972427	31940.8038047213	113	126	7626	157	8	45.6
DM	60	60	0	21821	5358	16463	5.2	6935.857419972427	31940.8038047213	78	60	5280	42	4	15.7
Sweden	48	48	0	32089	7869	24220	7.8	6935.857419972427	31940.8038047213	120	142	7749	131	4	53.3
Austria	44	44	0	27537	6618	20919	6.5	6935.857419972427	31940.8038047213	97	93	6522	124	7	30.1
KY	41	41	0	24707	6144	18563	5.6	6935.857419972427	31940.8038047213	95	89	6050	111	6	25.2
Germany	40	40	0	28640	6894	21746	6.9	6935.857419972427	31940.8038047213	101	101	6794	91	7	33.7
Spain	33	33	0	28071	6775	21296	6.6	6935.857419972427	31940.8038047213	97	93	6679	140	7	30.5
Netherlands	29	29	0	31520	7702	23818	7.4	6935.857419972427	31940.8038047213	117	135	7586	153	5	57.7
BF	24	24	0	27526	6808	20718	5.9	6935.857419972427	31940.8038047213	103	105	6706	17	1	41.9
France	23	23	0	27592	6599	20993	6.1	6935.857419972427	31940.8038047213	96	91	6503	150	4	36.8
