population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	78	78	0	16230	3664	12566	5.1	5533.711202485453	25483.681847554315	54	28	3610	85	6	9.6
Netherlands	72	72	0	17983	4139	13844	5.5	5533.711202485453	25483.681847554315	58	33	4081	217	7	11.0
China	64	64	0	19521	4571	14950	5.7	5533.711202485453	25483.681847554315	63	39	4509	129	8	13.2
KY	56	56	0	18890	4266	14624	6.3	5533.711202485453	25483.681847554315	63	39	4204	96	4	12.6
SW	52	52	0	16961	3777	13184	5.0	5533.711202485453	25483.681847554315	57	31	3721	133	5	9.8
US	46	46	0	17732	4038	13694	5.0	5533.711202485453	25483.681847554315	57	31	3982	178	7	10.3
Israel	38	38	0	17768	4086	13682	4.9	5533.711202485453	25483.681847554315	56	30	4030	217	8	10.3
Sweden	36	36	0	17665	3970	13695	5.0	5533.711202485453	25483.681847554315	57	31	3914	165	6	10.4
DM	34	34	0	17065	3878	13187	4.5	5533.711202485453	25483.681847554315	58	33	3820	58	5	10.3
Austria	31	31	0	18655	4272	14383	5.0	5533.711202485453	25483.681847554315	61	36	4212	183	8	11.7
Spain	22	22	0	18184	4222	13962	4.7	5533.711202485453	25483.681847554315	59	34	4164	161	5	10.9
Germany	21	21	0	18525	4255	14270	4.8	5533.711202485453	25483.681847554315	60	35	4195	173	7	11.7
Denmark	20	20	0	18803	4231	14572	5.0	5533.711202485453	25483.681847554315	59	34	4173	89	3	11.4
