population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
Denmark	106	106	0	14089	3962	10127	4.1	13209.60492529264	60832.478770639114	112	124	3082	68	4	14.6
AG	100	100	0	23536	6023	17513	6.0	13209.60492529264	60832.478770639114	181	325	4637	120	2	71.1
KY	75	75	0	19244	5661	13583	4.2	13209.60492529264	60832.478770639114	172	294	4342	105	1	45.1
BF	55	55	0	31366	8463	22903	6.4	13209.60492529264	60832.478770639114	266	704	6373	359	2	209.2
GH	50	50	0	21304	5494	15810	4.9	13209.60492529264	60832.478770639114	158	248	4273	84	2	49.0
DM	47	47	0	23267	5971	17296	5.0	13209.60492529264	60832.478770639114	184	336	4576	252	2	72.4
Israel	38	38	0	13220	3577	9643	2.9	13209.60492529264	60832.478770639114	102	103	2788	28	1	11.7
Fiji	36	36	0	14979	3745	11234	3.2	13209.60492529264	60832.478770639114	103	105	2929	34	1	13.9
US	35	35	0	14295	3953	10342	3.1	13209.60492529264	60832.478770639114	111	122	3085	67	1	14.1
SW	24	24	0	24840	6774	18066	4.7	13209.60492529264	60832.478770639114	208	430	5150	272	4	95.9
Kazakhstan	21	21	0	12258	3277	8981	2.3	13209.60492529264	60832.478770639114	93	85	2541	58	1	8.8
UK	21	21	0	11699	3245	8454	2.2	13209.60492529264	60832.478770639114	94	87	2512	25	1	8.1
