Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	43	43	43	43	43	True
KY	25	25	25	25	25	True
SW	20	20	20	20	20	True
DM	13	13	13	13	13	False
Fiji	11	8	8	8	8	False
Denmark	11	7	7	7	7	False
China	6	6	6	6	6	False
Israel	5	5	5	5	5	False
Kazakhstan	5	5	5	5	5	False
US	6	5	5	5	5	False
Austria	4	2	2	2	2	False
Germany	2	2	2	2	2	False
Spain	2	2	2	2	2	False
UK	2	2	2	2	2	False
Sweden	1	1	1	1	1	False
Australia	1	1	0	0	0	False
Mongolia	2	1	0	0	0	False
Peru	12	2	0	0	0	False
