population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	107	107	0	22359	5363	16996	6.6	1365.959213600177	6290.474645747274	21	4	5097	199	13	5.0
Israel	75	75	0	22270	5274	16996	5.5	1365.959213600177	6290.474645747274	21	4	5045	93	11	4.5
AG	57	57	0	19797	4819	14978	4.6	1365.959213600177	6290.474645747274	20	3	4572	148	13	4.0
US	46	46	0	20061	4581	15480	4.5	1365.959213600177	6290.474645747274	18	3	4354	82	11	3.8
SW	41	41	0	19695	4493	15202	4.4	1365.959213600177	6290.474645747274	18	3	4271	105	10	3.7
Fiji	36	36	0	23535	5686	17849	5.1	1365.959213600177	6290.474645747274	23	5	5444	158	15	4.9
Austria	34	34	0	19361	4191	15170	4.4	1365.959213600177	6290.474645747274	17	3	4002	37	5	3.4
KY	32	32	0	18448	4745	13703	4.0	1365.959213600177	6290.474645747274	20	3	4464	196	13	3.8
Spain	28	28	0	16848	3662	13186	3.6	1365.959213600177	6290.474645747274	15	3	3476	33	7	2.9
DM	22	22	0	20176	4852	15324	4.2	1365.959213600177	6290.474645747274	20	3	4614	97	10	4.0
Sweden	20	20	0	25816	5975	19841	5.8	1365.959213600177	6290.474645747274	24	5	5709	90	10	5.5
