population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
BF	151	151	0	10382	2115	8267	5.3	13168.414586732782	60642.7902515525	99	97	2017	114	4	15.0
AG	145	145	0	10426	2079	8347	5.0	13168.414586732782	60642.7902515525	94	87	1985	122	3	14.1
Israel	74	74	0	5057	1139	3918	1.3	13168.414586732782	60642.7902515525	54	28	1085	44	2	2.2
DM	70	70	0	11344	2347	8997	3.1	13168.414586732782	60642.7902515525	106	111	2241	126	3	17.9
SW	60	60	0	11410	2334	9076	3.4	13168.414586732782	60642.7902515525	108	115	2226	157	3	20.1
US	53	53	0	5064	1153	3911	1.3	13168.414586732782	60642.7902515525	55	29	1099	55	3	2.3
KY	44	44	0	8052	1702	6350	2.3	13168.414586732782	60642.7902515525	82	66	1620	27	3	7.4
UK	43	43	0	5202	1197	4005	1.5	13168.414586732782	60642.7902515525	54	28	1143	26	2	2.3
GH	39	39	0	10470	2096	8374	2.6	13168.414586732782	60642.7902515525	97	93	2000	111	3	14.2
Spain	31	31	0	6007	1437	4570	1.1	13168.414586732782	60642.7902515525	66	42	1371	31	3	3.7
Sweden	28	28	0	5659	1327	4332	1.4	13168.414586732782	60642.7902515525	59	34	1269	15	2	2.7
France	25	25	0	7082	1655	5427	1.4	13168.414586732782	60642.7902515525	77	58	1579	59	3	5.2
China	21	21	0	5905	1463	4442	1.1	13168.414586732782	60642.7902515525	63	39	1401	65	2	3.0
