Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	120	120	120	120	120	True
DM	50	50	50	50	50	True
BF	46	46	46	46	46	True
SW	43	43	43	43	43	True
KY	26	26	26	26	26	True
GH	21	21	21	21	21	True
Sweden	5	5	5	3	3	False
Israel	4	4	4	3	3	False
Spain	3	3	3	2	2	False
Kazakhstan	3	3	3	1	1	False
Denmark	10	8	8	1	1	False
China	2	2	2	1	1	False
UK	4	4	4	1	1	False
Germany	2	2	2	0	0	False
Austria	1	1	1	0	0	False
Fiji	1	1	1	0	0	False
Netherlands	1	1	1	0	0	False
Tanzania	1	1	0	0	0	False
US	3	3	3	0	0	False
