population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	seconds_ld	tract_length_pooled	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	335	335	0	18607	4320	14287	17.6	3250.603105483134	14969.580507851231	37	13	4156	166	9	5.8
AG	188	188	0	17506	4029	13477	10.7	3250.603105483134	14969.580507851231	35	11	3860	198	8	4.6
US	177	177	0	16502	3631	12871	10.6	3250.603105483134	14969.580507851231	30	8	3434	121	7	3.8
Israel	145	145	0	16328	3675	12653	8.8	3250.603105483134	14969.580507851231	30	8	3476	149	7	3.9
Denmark	138	138	0	16190	3576	12614	9.0	3250.603105483134	14969.580507851231	29	8	3355	121	5	3.5
Sweden	118	118	0	16489	3681	12808	8.4	3250.603105483134	14969.580507851231	30	8	3474	122	4	4.0
Netherlands	112	112	0	16524	3691	12833	7.7	3250.603105483134	14969.580507851231	30	8	3498	116	6	3.8
SW	87	87	0	16312	3668	12644	6.3	3250.603105483134	14969.580507851231	30	8	3455	109	5	3.7
Spain	86	86	0	16291	3617	12674	5.9	3250.603105483134	14969.580507851231	30	8	3433	98	8	3.7
KY	78	78	0	16781	3850	12931	6.1	3250.603105483134	14969.580507851231	33	10	3677	170	6	4.1
Austria	70	70	0	16867	3809	13058	5.8	3250.603105483134	14969.580507851231	31	9	3588	130	5	3.9
DM	67	67	0	16979	3896	13083	5.7	3250.603105483134	14969.580507851231	33	10	3691	164	7	4.1
BF	65	65	0	20704	4631	16073	6.6	3250.603105483134	14969.580507851231	39	14	4488	124	7	5.8
GH	62	62	0	19108	4026	15082	6.3	3250.603105483134	14969.580507851231	34	11	3890	132	5	4.9
UK	44	44	0	16902	3759	13143	5.3	3250.603105483134	14969.580507851231	31	9	3548	98	6	3.8
Germany	42	42	0	16319	3652	12667	5.5	3250.603105483134	14969.580507851231	30	8	3441	112	6	3.6
