population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
China	214	214	0	25728	5328	20400	23448.016319269467	107982.10567406197	36.3	44096.78203687073	115	131	3135	29	2	37.8
Israel	108	108	0	20574	4510	16064	99995.52902721213	460496.42900822405	24.9	44096.78203687073	103	105	2524	49	3	20.6
Denmark	91	91	0	18920	4211	14709	99927.42900714863	460182.8168261624	25.0	44096.78203687073	97	93	2339	58	2	16.6
AG	78	78	0	25373	5283	20090	13130.90540307622	60470.054077276545	27.0	44096.78203687073	118	138	2981	14	1	37.5
US	64	64	0	20839	4572	16267	99947.4472322373	460275.0041595172	23.8	44096.78203687073	105	109	2556	19	2	21.1
SW	49	49	0	23857	5136	18721	13261.943996059426	61073.50909889663	23.7	44096.78203687073	115	131	2914	36	3	32.0
Spain	48	48	0	18512	4081	14431	17278.9307877641	79572.41690956295	22.2	44096.78203687073	94	87	2270	43	1	15.7
KY	47	47	0	24773	5080	19693	6451.214543694082	29708.94088003275	25.5	44096.78203687073	112	124	2897	23	3	34.6
Netherlands	40	40	0	20121	4445	15676	11596.203912374294	53402.49252790456	24.9	44096.78203687073	102	103	2461	33	2	20.1
Sweden	38	38	0	19669	4324	15345	15746.575485900552	72515.65995908016	23.1	44096.78203687073	99	97	2418	25	1	18.9
UK	27	27	0	19108	4235	14873	7765.301655941732	35760.53567114682	25.3	44096.78203687073	95	89	2411	42	2	17.0
Fiji	20	20	0	29063	6164	22899	2104.4022027464616	9691.13028341567	28.6	44096.78203687073	137	186	3495	47	2	59.8
