population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
US	170	170	0	29534	7294	22240	9082.081519691294	41824.531041195754	24.5	30590.334064010018	104	107	7190	59	6	56.9
AG	166	166	0	25675	6356	19319	10239.101438076057	47152.80467393564	21.6	30590.334064010018	91	81	6266	20	3	37.0
China	135	135	0	31401	7591	23810	6248.377392678522	28774.84127956513	27.3	30590.334064010018	110	119	7481	169	7	68.1
UK	90	90	0	31628	7682	23946	6872.521016017558	31649.128885540642	25.3	30590.334064010018	111	122	7572	163	5	67.5
Israel	88	88	0	31067	7575	23492	7074.90832128268	32581.15686977005	24.1	30590.334064010018	110	119	7465	165	6	66.4
Denmark	78	78	0	32153	7828	24325	6376.066095142967	29362.8694852419	25.4	30590.334064010018	116	133	7712	158	7	78.0
SW	65	65	0	31626	7738	23888	6298.512166032342	29005.720443095415	26.3	30590.334064010018	110	119	7628	161	7	68.4
DM	60	60	0	21821	5358	16463	8302.9242345494	38236.37914146489	20.2	30590.334064010018	75	55	5284	35	3	22.6
Sweden	48	48	0	32089	7869	24220	8028.65376771616	36973.31696470741	22.2	30590.334064010018	117	135	7753	127	4	77.4
Austria	44	44	0	27537	6618	20919	5384.023184893742	24794.343051741307	29.2	30590.334064010018	94	87	6524	139	7	43.6
KY	41	41	0	24707	6144	18563	8596.733292481942	39589.41985542908	18.9	30590.334064010018	91	81	6054	124	6	35.3
Germany	40	40	0	28640	6894	21746	6077.492050706242	27987.885197492007	27.9	30590.334064010018	98	95	6796	90	5	49.3
Spain	33	33	0	28071	6775	21296	5895.132557159621	27148.08869467922	27.3	30590.334064010018	94	87	6681	134	7	44.2
Netherlands	29	29	0	31520	7702	23818	6614.1520097479615	30459.295640884524	22.5	30590.334064010018	112	124	7590	154	5	68.8
BF	24	24	0	27526	6808	20718	8947.917348385668	41206.682199471295	18.3	30590.334064010018	99	97	6710	24	3	45.5
France	23	23	0	27592	6599	20993	6879.557151314418	31681.531486034317	27.6	30590.334064010018	93	85	6507	150	4	42.0
