Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	78	78	78	78	78	True
Netherlands	94	72	72	72	72	True
China	69	64	64	64	64	True
KY	56	56	56	56	56	True
SW	52	52	52	52	52	True
US	66	46	46	46	46	True
Israel	38	38	38	38	38	True
Sweden	80	36	36	36	36	True
DM	34	34	34	34	34	True
Austria	33	31	31	31	31	True
Spain	27	22	22	22	22	True
Germany	36	21	21	21	21	True
Denmark	34	20	20	20	20	True
Fiji	25	19	19	19	19	False
UK	16	15	15	15	15	False
BF	9	9	9	9	9	False
Kazakhstan	7	7	7	7	7	False
GH	4	4	4	4	4	False
France	3	3	3	3	3	False
Russia	14	1	0	0	0	False
South Korea	1	1	0	0	0	False
Slovakia	1	0	0	0	0	False
Madagascar	2	2	0	0	0	False
Peru	2	2	0	0	0	False
Canada	5	5	0	0	0	False
Mongolia	25	19	0	0	0	False
ElSalvador	4	1	0	0	0	False
Finland	12	0	0	0	0	False
Estonia	9	0	0	0	0	False
Italy	10	10	0	0	0	False
