population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	78	78	0	16230	3664	12566	12271.069407531984	56510.36298575684	12.5	36281.06571152846	68	45	3596	90	6	11.7
Netherlands	72	72	0	17983	4139	13844	16302.486941817644	75075.72682191878	13.3	36281.06571152846	76	57	4063	143	3	15.4
China	64	64	0	19521	4571	14950	11899.8798737327	54800.97201135356	14.7	36281.06571152846	84	69	4487	114	6	19.0
KY	56	56	0	18890	4266	14624	8165.752141876962	37604.67830994018	13.2	36281.06571152846	81	64	4186	75	2	17.1
SW	52	52	0	16961	3777	13184	10062.905143955557	46341.39075337033	12.4	36281.06571152846	72	51	3705	112	5	13.1
US	46	46	0	17732	4038	13694	11048.241950418767	50879.034437651426	13.4	36281.06571152846	74	54	3964	109	5	14.2
Israel	38	38	0	17768	4086	13682	8583.14929629018	39526.863241160194	13.3	36281.06571152846	73	52	4014	145	5	13.2
Sweden	36	36	0	17665	3970	13695	8111.151725089793	37353.23409840939	12.7	36281.06571152846	72	51	3898	105	6	13.5
DM	34	34	0	17065	3878	13187	6674.244774487009	30736.03304945438	13.3	36281.06571152846	74	54	3804	39	4	13.3
Austria	31	31	0	18655	4272	14383	7504.328160259416	34558.708309497524	12.6	36281.06571152846	80	63	4192	110	4	17.6
Spain	22	22	0	18184	4222	13962	6646.342597888966	30607.538777660902	13.6	36281.06571152846	74	54	4148	125	4	14.4
Germany	21	21	0	18525	4255	14270	4678.2275268639005	21544.033929982434	14.3	36281.06571152846	78	60	4177	112	4	16.0
Denmark	20	20	0	18803	4231	14572	5151.456079953453	23723.331953828725	14.1	36281.06571152846	78	60	4153	54	3	15.8
