Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	51	51	51	51	51	True
Denmark	39	30	30	30	30	True
BF	22	22	22	22	22	True
Fiji	25	20	20	20	20	True
DM	20	20	20	20	20	True
GH	19	19	19	19	19	False
US	22	15	15	15	15	False
KY	14	14	14	14	14	False
Spain	24	14	14	14	14	False
Israel	11	11	11	11	11	False
Kazakhstan	11	9	9	9	9	False
SW	9	9	9	9	9	False
UK	9	9	9	9	9	False
France	7	7	7	7	7	False
Sweden	7	6	6	6	6	False
China	5	5	5	5	5	False
Germany	1	1	1	1	1	False
Canada	3	2	0	0	0	False
Italy	1	1	0	0	0	False
Mongolia	4	2	0	0	0	False
