Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
AG	114	114	114	114	114	True
China	90	85	85	85	85	True
Israel	50	50	50	50	50	True
US	57	43	43	43	43	True
Austria	59	37	37	37	37	True
UK	35	34	34	34	34	True
SW	33	33	33	33	33	True
DM	31	31	31	31	31	True
KY	30	30	30	30	30	True
Spain	31	21	21	21	21	True
Sweden	27	20	20	20	20	True
Denmark	21	19	19	19	19	False
GH	18	18	18	18	18	False
Kazakhstan	18	16	16	16	16	False
BF	13	13	13	13	13	False
France	11	11	11	11	11	False
Germany	16	10	10	10	10	False
Fiji	12	10	10	10	10	False
Netherlands	11	9	9	9	9	False
Peru	1	1	0	0	0	False
Russia	6	0	0	0	0	False
Canada	4	3	0	0	0	False
Mongolia	4	4	0	0	0	False
Madagascar	3	3	0	0	0	False
Japan	1	1	0	0	0	False
Finland	1	0	0	0	0	False
Estonia	1	0	0	0	0	False
Italy	4	4	0	0	0	False
