Population	all	good_strain	good_population	in_alignment	clonal_representatives	scanned
China	470	407	407	347	347	True
US	361	267	267	212	212	True
Denmark	275	129	129	106	106	True
Spain	155	85	85	74	74	True
UK	86	82	82	71	71	True
Israel	68	68	68	55	55	True
AG	53	53	53	53	53	True
SW	48	48	48	48	48	True
Sweden	236	56	56	40	40	True
Germany	89	38	38	30	30	True
France	21	21	21	20	20	True
DM	15	15	15	15	15	False
Kazakhstan	18	15	15	14	14	False
KY	12	12	12	12	12	False
Austria	16	11	11	10	10	False
GH	9	9	9	9	9	False
Fiji	9	8	8	7	7	False
BF	5	5	5	5	5	False
Netherlands	5	4	4	4	4	False
Singapore	1	0	0	0	0	False
Canada	35	23	0	0	0	False
South Korea	2	2	0	0	0	False
Slovakia	1	1	0	0	0	False
Estonia	34	0	0	0	0	False
Madagascar	1	1	0	0	0	False
Russia	3	0	0	0	0	False
Mongolia	6	4	0	0	0	False
Japan	8	6	0	0	0	False
Ireland	2	2	0	0	0	False
Finland	74	1	0	0	0	False
Italy	8	1	0	0	0	False
