population	genomes	genomes_before_trim	clonal_dropped	variants	nonsyn	syn	tract_length_pop	l_DD_pop	seconds_ld	l_DD_used	window_size	num_bins	windows_scanned	significant_windows	sweeps	seconds_scan
AG	99	99	0	17750	2067	15683	2157.6728514611864	9936.450686664966	21.8	1715.4128615611903	7	3	1703	57	7	2.0
China	91	91	0	17868	2358	15510	206.09988921618086	949.1250651538045	28.8	1715.4128615611903	8	3	1965	68	10	1.9
Denmark	57	57	0	11473	1693	9780	408.1844211052527	1879.7587264587178	27.5	1715.4128615611903	6	3	1309	0	0	1.1
US	49	49	0	15888	1795	14093	422.0406409404718	1943.5689769343655	21.0	1715.4128615611903	7	3	1454	44	4	1.4
SW	44	44	0	17106	1934	15172	854.1320706606721	3933.4235467028	18.7	1715.4128615611903	7	3	1566	58	9	1.5
DM	40	40	0	17931	2072	15859	947.8197884367443	4364.871431398435	18.1	1715.4128615611903	8	3	1713	63	9	1.7
Fiji	26	26	0	15802	1984	13818	511.9358880672127	2357.5518888644647	18.9	1715.4128615611903	8	3	1627	65	6	1.5
KY	23	23	0	17102	1964	15138	643.6401226081368	2964.072303140711	18.4	1715.4128615611903	7	3	1598	41	7	1.5
Spain	22	22	0	16635	2197	14438	195.30199853776446	899.3989409300026	24.8	1715.4128615611903	7	3	1778	44	11	1.6
Israel	20	20	0	17681	2063	15618	296.52683315140223	1365.5565313743025	18.3	1715.4128615611903	8	3	1672	54	8	1.6
