contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME139713_1,GUT_GENOME139713_00003,2865,0.2511683511426288,0.19013331676710044,0.225727566292462,0.04926325166490705,0.17450847979426898,0.0797206202361603,0.0015192763559002055,0.061035034375528374,0.5975127151726083,0.14600694605630168,1.5462256087532134,2.7478350779571876,0.2531134329941766,False
GUT_GENOME139713_1,GUT_GENOME139713_00003,2871,0.2647540084274977,0.3899133276439165,0.3119072576383589,0.04517057066075001,0.9785125666608642,0.16219661063782884,0.0004592980263388483,-0.12515931921641882,-2.312547388361214,0.14971064700053008,1.588015036678497,7.869667180133281,0.01954895219664465,False
GUT_GENOME139713_1,GUT_GENOME139713_00003,2872,0.7196419429151946,0.6877701809577983,0.6981912031499024,0.07110885201716752,0.3087767335761089,0.28238326687581655,2.4953060716032342e-09,0.03187176195739627,0.141715458621618,0.4158079362740858,4.590431716280936,21.09214661305027,2.6296536840350372e-05,False
GUT_GENOME139713_1,GUT_GENOME139713_00004,2884,0.382546261317317,0.6118015528002976,0.4405511200374854,0.049439769990714,0.9998327484033515,0.27702134739502754,0.00047040077634725894,-0.22925529148298057,-3.9394793011052425,0.16352977264245788,1.7439383587014887,18.560818162787093,9.32329757870687e-05,False
GUT_GENOME139713_1,GUT_GENOME139713_00004,2890,0.11645942509281074,0.24277981213768182,0.1931637115311911,0.026847481095275943,1.0,0.1292124939160209,0.008608997958333498,-0.12632038704487109,-2.330693895491502,0.0639512176151702,0.6203781925651046,5.8170031362916985,0.054557419225786274,False
GUT_GENOME139713_1,GUT_GENOME139713_00004,2948,0.08247117282797148,0.06299451990966977,0.0663279629321444,0.00945339430337829,0.03610265291234619,0.048130978191098434,0.02711996841163097,0.01947665291830171,-0.05200960122993151,0.01819698474104596,0.10412613934534742,0.013547251515063202,0.9932492635350934,False
GUT_GENOME139713_1,GUT_GENOME139713_00004,2980,0.05810563141840412,0.047948320271651974,0.04941371814568035,0.006779584712579332,0.2006903796523548,0.04358415786524145,0.19493040348930185,0.010157311146752147,-0.19766302281551237,0.005829560280438899,-0.03541741476458146,0.04032506385717216,0.9800393726720557,False
GUT_GENOME139713_1,GUT_GENOME139713_00005,3333,0.055850502271810605,0.03875321615601561,0.040846993155806234,0.004950312767516281,0.1034134170645084,0.03275639432478912,0.051091521120324626,0.017097286115794995,-0.08919708984100985,0.008090598831017114,-0.00990576871958438,0.008054245090031078,0.9959809754388093,False
GUT_GENOME139713_1,GUT_GENOME139713_00007,5816,0.03659463173911128,0.02871232469881623,0.02928239567769498,0.0037844254333666495,0.21142284285637375,0.03247849149066034,0.8008159296964299,0.00788230704029505,-0.2332194108469416,-0.0031960958129653577,-0.13725528193403613,0.07323030601458629,0.9640470745845323,False
GUT_GENOME139713_1,GUT_GENOME139713_00009,7190,0.0329867505550798,0.022488068983932623,0.023162273853404913,0.0030196454313353555,0.13963791623201566,0.03451387928712577,0.9999147886385136,0.010498681571147174,-0.19232769210652925,-0.011351605433720859,-0.22927515249664793,0.08955703670338508,0.9562092411806932,False
GUT_GENOME139713_1,GUT_GENOME139713_00009,7287,0.0392039252045008,0.016813431306997424,0.01853834704884953,0.0024322867335798645,0.03197335090219805,0.03792637154914867,0.9999999999999992,0.022390493897503375,-0.006468733754434525,-0.019388024500299143,-0.319951306002912,0.1024106827293548,0.9500835590463109,False
GUT_GENOME139713_1,GUT_GENOME139713_00009,7290,0.04776859620398073,0.020948303077798318,0.022968454484988906,0.0027897670144295117,0.024523359055489986,0.046121789137698016,1.0,0.026820293126182414,0.06276527766083591,-0.02315333465270911,-0.3624358801086263,0.13529924726995637,0.9345878737192155,False
GUT_GENOME139713_1,GUT_GENOME139713_00010,7658,0.05404411049607376,0.023496934567048062,0.025559831119457036,0.00279576885074319,0.03506613379260939,0.05699855822590647,1.0,0.030547175929025696,0.12101330047074782,-0.03143872710644943,-0.4559212386708049,0.22250839476194453,0.894711286754292,False
GUT_GENOME139713_1,GUT_GENOME139713_00010,7983,0.05578357686332121,0.024022510766295836,0.026185887994973654,0.0029519404003616172,0.03892996389459165,0.059623253695689236,1.0,0.03176106609702537,0.13998537604565722,-0.03343736570071558,-0.47847218561319527,0.24853153791211205,0.88314509713982,False
GUT_GENOME139713_1,GUT_GENOME139713_00011,8473,0.04456697058839689,0.021316918962629047,0.022893588922096347,0.003038120236498184,0.06239044327843728,0.05296276047368786,1.0,0.023250051625767845,0.0069654257861305295,-0.03006917155159151,-0.44046833250714856,0.1940608690980101,0.9075283854958421,False
