contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME233517_113,GUT_GENOME233517_00805,7170,0.4345751342166745,0.1763874682187586,0.21974669078013506,0.02145840902634266,0.00011623174537014299,0.2441575917540446,0.8723544245590047,0.25818766599791587,2.4216093177820617,-0.02441090097390955,-0.001081676854461471,5.86419285799372,0.053285212304506925,False
GUT_GENOME233517_113,GUT_GENOME233517_00805,7297,0.45140538683132647,0.17198210089568994,0.22438324330473516,0.023466188081287705,1.9779411085975087e-05,0.24513054253533448,0.8116885711394715,0.27942328593563653,2.628849515442336,-0.020747299230599314,0.032574467652367656,6.911910870784241,0.031557139140319386,False
GUT_GENOME233517_113,GUT_GENOME233517_00805,7384,0.4581279951987434,0.178262202178888,0.22401192093633832,0.022470145029346116,8.247361184092298e-06,0.24195969548633475,0.7877790307048875,0.2798657930198554,2.633167979224818,-0.017947774549996437,0.0582926580568934,6.936971640798249,0.031164183123767213,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3254,0.3457537821886207,0.5871358837116282,0.5713185910146081,0.019286532094283278,0.9994516083597839,0.48220931280101137,1.91606479847775e-06,-0.2413821015230075,-2.453733981343029,0.08910927821359677,1.0417859225379638,7.106128359595788,0.028636756906741227,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3255,0.3505576010349001,0.5241059485442299,0.5105720854412906,0.021986304173301895,0.9831750583632254,0.5256846905869895,0.7540734711645051,-0.1735483475093298,-1.7917386814148117,-0.015112605145698899,0.08433830326017398,3.2174404518748934,0.2001435888190458,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3294,0.28865310171381126,0.5385561675204177,0.5182136710935509,0.022702348079259204,0.9998492837383681,0.5319376225834592,0.727249958290714,-0.24990306580660643,-2.5368907871046753,-0.013723951489908348,0.0970953471158728,6.4452423721281304,0.039850465756843444,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3341,0.2887495102672511,0.5090025161798458,0.48366660818903745,0.02716157053544792,0.9992768064390807,0.530456567903002,0.9575243486004303,-0.22025300591259472,-2.247533363535457,-0.046789959713964546,-0.20666975319421213,5.094118607090362,0.07831161842397323,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3350,0.3282296875335633,0.45921434706005665,0.40937301371374973,0.04960297777065455,0.9676050014215998,0.5449819606928736,0.996870426042138,-0.13098465952649335,-1.3763560772533587,-0.1356089469791239,-1.022616703706754,2.9401009740923207,0.22991387722116816,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3351,0.335961269895929,0.41620320456380416,0.3885646390058602,0.04937245428848174,0.865129979107633,0.5263645625334206,0.9973729571379699,-0.08024193466787516,-0.8811535656072732,-0.13779992352756038,-1.042744389108122,1.8637474671988818,0.39381511401019664,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3560,0.39038369764136716,0.5151210211979671,0.4971544087070548,0.03529988435459561,0.9516688043244923,0.5198370045041182,0.7397479548643227,-0.12473732355659994,-1.3153878010717395,-0.022682595797063387,0.01479561900337861,1.7304639775500392,0.42095388472277384,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,3885,0.4371959076154425,0.5760627649049335,0.5593409828940902,0.02918310065072066,0.9571293060075015,0.5050486191896204,0.031414178801350306,-0.13886685728949094,-1.4532791069172777,0.05429236370446977,0.7219358984077985,2.6332116040121556,0.26804355259114954,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,4284,0.5358889752330039,0.5369248157508255,0.5387777667607052,0.027226195699004783,0.5049875777595968,0.50300518153255,0.09443939347879954,-0.0010358405178215735,-0.10817464360282769,0.035772585228155185,0.5518015922508954,0.31618675072922225,0.8537700571559919,False
GUT_GENOME233517_12,GUT_GENOME233517_00059,4295,0.5697487312444837,0.5961422294091031,0.5919468041020546,0.027267444635610937,0.621039397892943,0.5038235811252084,0.0006150422904765176,-0.026393498164619444,-0.35564215330285426,0.08812322297684616,1.0327274003881712,1.1930072247184011,0.5507338527646837,False
GUT_GENOME233517_12,GUT_GENOME233517_00060,4588,0.5737956942846183,0.6160978703668921,0.6098665595739564,0.02512632988994996,0.6892860899538842,0.5008606154854937,7.178950216420389e-06,-0.042302176082273824,-0.5108962766031141,0.10900594408846276,1.2245691803282959,1.76058468285684,0.4146616711753708,False
GUT_GENOME233517_12,GUT_GENOME233517_00060,4597,0.6774104702850423,0.6213497709297566,0.6243628679299243,0.023869700704202634,0.23640994326271814,0.4973741412867497,5.1860705007073406e-08,0.05606069935528568,0.44903528215979016,0.12698872664317462,1.3897703049869532,2.133094185247851,0.3441949411854776,False
GUT_GENOME233517_12,GUT_GENOME233517_00060,4986,0.5747213770629057,0.6256845107802819,0.6221254462514695,0.01874815965801869,0.7279486955635903,0.5076595186893418,5.12561294842273e-10,-0.05096313371737615,-0.5954192892342456,0.1144659275621277,1.2747280146312103,1.9794556412778412,0.3716778402931476,False
GUT_GENOME233517_12,GUT_GENOME233517_00060,5199,0.6743873240479827,0.6478620123161211,0.6487102885896079,0.019243935490185084,0.36712435391412657,0.5155932317083075,2.3008343978451046e-12,0.026525311731861678,0.1607969549057467,0.13311705688130038,1.446068992052641,2.116971190483102,0.34698088214308875,False
GUT_GENOME233517_12,GUT_GENOME233517_00060,5235,0.6944671968215401,0.6256816822475626,0.6307409776900706,0.02227961123997213,0.1737927246688044,0.5236114032580215,7.606656968284318e-07,0.06878551457397752,0.5732178221019333,0.10712957443204918,1.2073316712513884,1.7862284359819542,0.409378870495845,False
GUT_GENOME233517_12,GUT_GENOME233517_00061,5384,0.6859275036868524,0.6132924344284457,0.6218793955076273,0.02286179678488095,0.16435974259447766,0.524525203226305,1.0295737459995082e-05,0.07263506925840668,0.610785949429737,0.09735419228132225,1.1175288768087055,1.621930266522112,0.44442892602882933,False
GUT_GENOME233517_12,GUT_GENOME233517_00061,5429,0.6753460945702668,0.5628853056362421,0.5689208944463671,0.01785803817662528,0.06604012920711794,0.5359072448471527,0.0322526170406315,0.11246078893402478,0.9994484910340522,0.03301364959921438,0.5264562783443756,1.2760534992384545,0.5283339312588808,False
GUT_GENOME233517_12,GUT_GENOME233517_00061,5466,0.6372868612684927,0.5398908689936085,0.5439738417507117,0.014997445392441017,0.0905698791810105,0.5050157083857364,0.004693188061930063,0.09739599227488416,0.8524298757777814,0.038958133364975334,0.5810660363521276,1.064274431720496,0.5873483371275725,False
GUT_GENOME233517_137,GUT_GENOME233517_00998,7720,0.2609122891372439,0.2772317800644756,0.2686423262456515,0.02024756061873783,0.5942876497327874,0.2582914659010037,0.3046001952200219,-0.016319490927231672,-0.2573290709803154,0.010350860344647772,0.31826167545876416,0.1675087448374119,0.9196571215089775,False
GUT_GENOME233517_137,GUT_GENOME233517_00998,8083,0.2560390523441142,0.2767112618099389,0.26732384637097256,0.019959335817989397,0.6200558569495924,0.25800252486324704,0.3202443528559188,-0.020672209465824654,-0.29980761660050853,0.009321321507725522,0.30880368567204136,0.18524432325631446,0.9115378492147469,False
