contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME001659_1,GUT_GENOME001659_00003,3386,0.04239394462256673,0.024191859428716142,0.030116226177618343,0.003334807690460724,0.004729664825610515,0.0361096927804757,0.9638516369671438,0.018202085193850588,-0.04898907626518821,-0.005993466602857354,-0.2774559804782959,0.07938175069648895,0.961086488763425,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3399,0.04440510922638568,0.024920767094704394,0.03106316570549711,0.0034136960087953485,0.0044380552304133635,0.035917048349505494,0.9224701593004716,0.019484342131681286,-0.013349451082514039,-0.004853882644008385,-0.2623491840717833,0.06900530222733489,0.9660857784798853,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3475,0.04095879915689445,0.02530917689554694,0.02988715319726317,0.003157847752907547,0.01305937076304881,0.03586739560565145,0.9708723339349378,0.01564962226134751,-0.11993337730440011,-0.005980242408388278,-0.2772806750855399,0.09126858776753233,0.9553912907494497,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3576,0.03831750796498255,0.02413233118672492,0.027110525681237584,0.002450619270598858,0.015634646293915293,0.03583262255991478,0.9998139643618883,0.014185176778257633,-0.1606368327336073,-0.008722096878677199,-0.3136278322540014,0.12416660919502899,0.9398045934866354,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5022,0.03977755677215612,0.023892417031739256,0.026387886711584953,0.002088186215809591,0.011854042283425646,0.03550994451381765,0.9999937423397358,0.015885139740416866,-0.11338729872189655,-0.009122057802232696,-0.31892987972123366,0.11457294769044916,0.94432350662772,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5031,0.040211205183852745,0.02320340189025476,0.025848046486317767,0.0020510305097192344,0.010620712080668329,0.03485983067105792,0.9999944302643584,0.017007803293597985,-0.08218348374444379,-0.009011784184740152,-0.31746804702735115,0.1075400858837337,0.9476500002539333,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5142,0.039300444765795195,0.022641582367605936,0.02513353363889482,0.0019437232541011029,0.011980175761893308,0.03418966917917816,0.9999984125592808,0.01665886239818926,-0.09188210369834547,-0.009056135540283339,-0.31805598694467013,0.1096019318113817,0.9466735495162291,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5293,0.03978820202313515,0.022661872324218017,0.024636994750198912,0.0016919540246232718,0.010003436948480906,0.03045715720412151,0.9997090416505411,0.01712632969891713,-0.07888910760562513,-0.005820162453922598,-0.2751585889837669,0.08193574039034947,0.9598599695658425,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5295,0.04028663180640303,0.021989408280379107,0.023860366601266485,0.0014902171367747827,0.005170338070743473,0.02885802937008542,0.9996012303322129,0.018297223526023924,-0.046344758734804044,-0.0049976627688189355,-0.264255192888378,0.07197864363066106,0.9646505941453125,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5598,0.03966118362460725,0.023158625620481422,0.024905934677212836,0.0016153569494548065,0.009080250094507539,0.028168875448060123,0.9783057290030245,0.01650255800412583,-0.09622649822215283,-0.0032629407708472877,-0.24125900042553763,0.06746544424642754,0.9668298823448126,False
