contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME095997_10,GUT_GENOME095997_00100,30827,0.12114565852988472,0.09068842733566644,0.09562284270192888,0.006210020477954421,0.06395069466030308,0.128158064675597,0.9999999193405801,0.03045723119421828,1.0705312518807306,-0.032535221973668135,-0.6706380385693235,1.5957925400294335,0.450275225922971,False
GUT_GENOME095997_10,GUT_GENOME095997_00101,31360,0.12073424448803803,0.09158856537256,0.09677877242737698,0.006384771927754167,0.0723448853545294,0.12817247311163193,0.9999995605189103,0.029145679115478038,1.0245836683219884,-0.031393700684254955,-0.6500925022232935,1.4723919548390851,0.478932324069931,False
GUT_GENOME095997_10,GUT_GENOME095997_00103,33902,0.12009491460200161,0.09177845062562133,0.09678866141000636,0.006392265644989155,0.07765512121540635,0.1282666814056731,0.9999995768841413,0.028316463976380282,0.9955337872616313,-0.03147801999566674,-0.6516101134087788,1.4156832614760886,0.49270649318540594,False
GUT_GENOME095997_10,GUT_GENOME095997_00103,34160,0.12064181623436705,0.09310426276205717,0.09707863322602092,0.006138507801781704,0.0850001508512449,0.12842329677245792,0.99999983567955,0.027537553472309878,0.96824622769714,-0.031344663546437,-0.6492099130795886,1.3589742686905488,0.5068768854604988,False
GUT_GENOME095997_10,GUT_GENOME095997_00105,34733,0.11801282796276966,0.09422729559495016,0.09751349662022761,0.006202053285328615,0.11626198551080147,0.1286479227147716,0.9999997416683211,0.023785532367819495,0.8368017307479042,-0.03113442609454399,-0.6454259790879721,1.1168118310643553,0.5721203454823526,False
GUT_GENOME095997_10,GUT_GENOME095997_00105,34993,0.11296597152554946,0.09691664949060105,0.09935317741753834,0.0064040631701205815,0.19704304246729587,0.12880849096601452,0.9999978821912637,0.01604932203494841,0.5657791945791378,-0.029455313548476178,-0.6152046698892223,0.6985828828721249,0.7051875794375497,False
GUT_GENOME095997_10,GUT_GENOME095997_00105,35299,0.11431796268523203,0.09727614207165665,0.09982234832088212,0.006434741289524042,0.18789286981948955,0.1288102281538912,0.999996679823254,0.017041820613575384,0.6005493818348339,-0.028987879833009086,-0.6067916192702313,0.7288556292387904,0.6945939737131948,False
GUT_GENOME095997_10,GUT_GENOME095997_00106,36193,0.11324193910922223,0.10140992295582156,0.10302149892574045,0.006413121207716512,0.26964866306198876,0.12873105266634627,0.9999694987213851,0.011832016153400668,0.41803438327792586,-0.025709553740605823,-0.5477870535995948,0.47482340169388115,0.7886665264929886,False
GUT_GENOME095997_10,GUT_GENOME095997_00106,36469,0.11250125678409115,0.10248705602559997,0.10391031119974202,0.006641942431651642,0.30178834311664837,0.1288559574022838,0.9999135973061675,0.010014200758491174,0.35435088484437716,-0.02494564620254179,-0.5340379538378469,0.41076108572930736,0.8143373671661721,False
GUT_GENOME095997_10,GUT_GENOME095997_00106,36689,0.1155630318718603,0.10192433184419344,0.10358954913890683,0.006197212165208889,0.24329565921723412,0.12891051125515698,0.9999780433913038,0.013638700027666859,0.48132791132205216,-0.02532096211625015,-0.5407930330622586,0.5241336628263265,0.769459597916865,False
