contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME001659_1,GUT_GENOME001659_00003,3386,0.030256254596531612,0.017159200048176067,0.0208118343972049,0.0022319653747431578,0.005922435229486596,0.03959120916283036,1.0,0.013097054548355545,-0.21968349141652618,-0.018779374765625464,-0.4630097765604854,0.2626388895915456,0.8769375964913235,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3399,0.029995822927967975,0.017154175099436685,0.02059596193558321,0.0022044507998375193,0.007086242238748167,0.039430513945651,1.0,0.01284164782853129,-0.22823862117994248,-0.01883455201006779,-0.46377356760802174,0.26717879020999363,0.8749492493014325,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3475,0.031794450563964544,0.017765480493399533,0.021197909347025604,0.0022679877400696834,0.008527060859592043,0.039270757578914614,0.9999999999999992,0.01402897007056501,-0.18846795320934898,-0.01807284823188901,-0.4532296824878508,0.2409373144749594,0.8865048724216349,False
GUT_GENOME001659_1,GUT_GENOME001659_00003,3576,0.030734980447774264,0.0182455980661681,0.020776475986473274,0.0020255142767550225,0.014684104229139395,0.03923268111480843,1.0,0.012489382381606164,-0.24003814083113256,-0.01845620512833516,-0.45853630061414913,0.267873848034576,0.8746452319709788,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5031,0.03057201817841183,0.01746849214652377,0.01984186872543886,0.001771975636139883,0.011464371050518422,0.039185502153307884,1.0,0.013103526031888059,-0.2194667219383364,-0.019343633427869024,-0.470820527515381,0.2698376111682207,0.8737868554212159,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5142,0.028491897822715787,0.018608921749865077,0.02016937941855276,0.0015845781238832707,0.0342888787150415,0.038975820197574534,1.0,0.00988297607285071,-0.32734259469567106,-0.018806440779021775,-0.463384437871204,0.3218783115633061,0.8513438688835843,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5253,0.028294493387852997,0.01807253557433821,0.019619681692702385,0.0015627692989110859,0.033615850997062297,0.03799190139529535,1.0,0.010221957813514787,-0.31598802743602566,-0.01837221970259296,-0.4573737322953839,0.30903916447672003,0.8568267133928796,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5293,0.0283773854675368,0.016741748326237437,0.018062220287469698,0.0012644067003213023,0.01817913209487367,0.034426807722458166,1.0,0.011635637141299362,-0.268635279233558,-0.01636458743498847,-0.42958308112678534,0.2567065368392739,0.8795426096276412,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5295,0.030179073885814065,0.016866701069314777,0.017914619949929596,0.0011301806159052803,0.008582043341578601,0.03210846736845084,1.0,0.013312372816499288,-0.21247116855489076,-0.014193847418521244,-0.39953461082234054,0.20477190271203993,0.9026810934371732,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5441,0.031121378076057696,0.016773234766967723,0.017784490366523107,0.0010539950459441294,0.005315976275776063,0.03037225853103169,1.0,0.014348143309089973,-0.17777689357524937,-0.012587768164508583,-0.3773024575452635,0.1739617683589609,0.9166946188354714,False
GUT_GENOME001659_1,GUT_GENOME001659_00005,5598,0.029322481050537346,0.016791308252045382,0.017677591268650136,0.0010190911369494897,0.009498770242604893,0.029601661182255476,1.0,0.012531172798491964,-0.23863832472773758,-0.01192406991360534,-0.368115214009838,0.19245706081436997,0.9082564281381816,False
GUT_GENOME001659_1,GUT_GENOME001659_00006,6328,0.028265610291463003,0.01676806788170602,0.01768086501712206,0.0011000480398761687,0.014175338703617868,0.02908300109037406,1.0,0.011497542409756985,-0.27326091456845486,-0.011402136073251998,-0.36089034443367096,0.20491336813624206,0.902617246613328,False
GUT_GENOME001659_1,GUT_GENOME001659_00007,7099,0.026385074126141956,0.01757139564774405,0.01811554734547012,0.0010771302888632841,0.04044619032718643,0.028531345364658615,1.0,0.008813678478397906,-0.36315989692854633,-0.010415798019188495,-0.3472369591812513,0.25245861655859436,0.8814127083767881,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,7814,0.024290175862545386,0.017580891971051144,0.01793132532192876,0.0010561639404612097,0.06736887988139902,0.02801928544346495,1.0,0.006709283891494243,-0.43364891451108983,-0.01008796012153619,-0.3426988628373561,0.3054938916466635,0.8583469025997152,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,7979,0.024944560984546033,0.0182086339926414,0.01855570200304697,0.0010347533117458392,0.078902718477604,0.02782145496436454,1.0,0.006735926991904631,-0.4327564744787076,-0.00926575296131757,-0.33131745960596454,0.2970494252429902,0.8619787051538081,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8013,0.025890953353293986,0.019228366448347797,0.019550316046576012,0.0010820326995583695,0.09098999455092815,0.02765293711831791,0.9999999999999651,0.006662586904946189,-0.4352130815766784,-0.008102621071741898,-0.3152168055529991,0.2887720608785057,0.8655535535402566,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8031,0.027761580376231734,0.019068336759582503,0.0194787173469947,0.0010590751546645182,0.04709641156529827,0.027580934997485818,0.99999999999999,0.008693243616649231,-0.3671939954479901,-0.008102217650491118,-0.31521122119403283,0.23418954425969205,0.8895008892748684,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8076,0.02890668467345691,0.018989990762892345,0.01945126590035978,0.0010524614707428312,0.030775957328368464,0.027428948354238626,0.9999999999999827,0.009916693910564565,-0.3262131785347246,-0.007977682453878848,-0.3134873426416155,0.20468935184622972,0.902718352759022,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8172,0.03013510678982083,0.01963096507984371,0.019923621190836488,0.001140136862621445,0.02331247115744421,0.027365622385766078,0.9999999999665143,0.010504141709977117,-0.3065359666091108,-0.00744200119492959,-0.3060721744132339,0.187644474775027,0.9104445908657978,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8283,0.031063782756881955,0.019322802877582444,0.019972008682742515,0.0010981221545513585,0.014746780974641807,0.02733650777216704,0.9999999999900291,0.01174097987929951,-0.265106708043869,-0.007364499089424527,-0.30499935145970913,0.16330617104070036,0.9215916167223087,False
GUT_GENOME001659_1,GUT_GENOME001659_00008,8537,0.03125936901706022,0.019669508966693654,0.02023255205997381,0.0010620846330449357,0.015956135434605678,0.027317575247118923,0.999999999987285,0.011589860050366569,-0.27016863338097913,-0.007085023187145111,-0.3011307060729999,0.16367079260296938,0.9214236159494185,False
GUT_GENOME001659_1,GUT_GENOME001659_00009,9355,0.030952405795050885,0.019367226579513216,0.02006266190185096,0.0010555924711056178,0.014184521677647947,0.02732833863847378,0.9999999999970705,0.011585179215537669,-0.2703254231059712,-0.0072656767366228205,-0.3036314029670056,0.16526786324513446,0.9206881203450955,False
GUT_GENOME001659_1,GUT_GENOME001659_00010,10301,0.030399590709166473,0.019510159808428938,0.020020184596011337,0.0010419447202793207,0.02056761297685332,0.027350046251439726,0.9999999999990022,0.010889430900737535,-0.2936302802369388,-0.007329861655428389,-0.3045198827536643,0.1789511004643287,0.9144106219784074,False
GUT_GENOME001659_1,GUT_GENOME001659_00014,15104,0.028778445615087894,0.019488744997720697,0.01978809229110597,0.000872343879699338,0.039548149100013724,0.027355788231851367,1.0,0.009289700617367197,-0.34721501038858565,-0.0075676959407453975,-0.3078121040263701,0.21530655482428654,0.897938878154685,False
GUT_GENOME001659_1,GUT_GENOME001659_00014,15339,0.03211577742415758,0.01990500219577178,0.020315872526153664,0.0008877250812515991,0.02740548569472749,0.02724370924157893,0.999999999999997,0.012210775228385803,-0.24937039469843988,-0.006927836715425264,-0.2989548522204409,0.15155959741820135,0.9270203151561566,False
GUT_GENOME001659_1,GUT_GENOME001659_00014,16131,0.03342531453958804,0.020159443074456024,0.02062621798528827,0.0009115531117013086,0.01894191042099121,0.027156835267873873,0.999999999999609,0.013265871465132015,-0.214028782604337,-0.006530617282585603,-0.2934563419237284,0.13192494439835073,0.9361659958834413,False
GUT_GENOME001659_1,GUT_GENOME001659_00016,18474,0.03560285457030755,0.019952086953845417,0.020496895056656885,0.0009011571501845173,0.011175067564675192,0.026722989652676322,0.9999999999975596,0.01565076761646213,-0.1341440557618303,-0.006226094596019437,-0.28924098640676277,0.10165497591379016,0.9504426191885517,False
GUT_GENOME001659_1,GUT_GENOME001659_00017,19200,0.03887854932653478,0.020381159413880332,0.021016786895917326,0.0009359758567797017,0.005824880115247915,0.026787032326674648,0.9999999996474754,0.018497389912654445,-0.03879330246874261,-0.005770245430757322,-0.28293089399506216,0.08155481109327645,0.9600428063690112,False
GUT_GENOME001659_1,GUT_GENOME001659_00017,19542,0.038958240137558914,0.020460908975080988,0.021110025725817372,0.0009509329234609179,0.005073968590611645,0.02678726488788242,0.9999999988150282,0.018497331162477926,-0.038795270370699485,-0.005677239162065046,-0.2816434546510014,0.08082810855088633,0.9603917025251993,False
GUT_GENOME001659_1,GUT_GENOME001659_00017,19713,0.03868853131462566,0.020599274041050497,0.021268086270765096,0.000966944084062303,0.006515056184638883,0.026770190956964958,0.9999999936554461,0.01808925727357516,-0.0524641553359319,-0.0055021046861998615,-0.27921915553761245,0.08071582441425021,0.9604456224153476,False
GUT_GENOME001659_1,GUT_GENOME001659_00018,20528,0.03764959346053095,0.021405261480769402,0.02199786960675239,0.0010796656601115404,0.012414870833344296,0.026738669052931253,0.9999943581733165,0.016244331979761547,-0.11426196278299146,-0.004740799446178862,-0.2686807871821892,0.08524516153986256,0.9582729924799036,False
GUT_GENOME001659_1,GUT_GENOME001659_00018,20769,0.035666699866726964,0.02059782303629035,0.021130800574099624,0.0011560262682657582,0.015115522629213287,0.026839237884809564,0.9999996053250796,0.015068876830436614,-0.15363512939532772,-0.005708437310709941,-0.28207531504699457,0.10317023634318033,0.9497228078527602,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,21100,0.03726435447722631,0.020559192232328386,0.02105736862046776,0.0011410463622689574,0.007157810839351063,0.026869443018279884,0.9999998243692165,0.01670516224489792,-0.09882594481187458,-0.005812074397812124,-0.28350991150286,0.09014443728831918,0.9559284434840999,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,21333,0.03773108168382193,0.020346472703678523,0.02121792132262805,0.0011475886090962489,0.007442694097069392,0.026891993686945323,0.9999996179957038,0.017384608980143407,-0.07606712706677202,-0.005674072364317273,-0.28159961825080504,0.08508455281919157,0.958349949069525,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,21723,0.03981680473418549,0.020557519108016013,0.021719363584485528,0.001227329140245874,0.006268364499052526,0.0269751396816524,0.9999907509073273,0.019259285626169475,-0.013272765265191977,-0.005255776097166872,-0.27580935185935357,0.07624696487086159,0.9625940700920165,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,21838,0.04282272116806602,0.020749948608276673,0.022114762059487005,0.0011980391431877005,0.0022439560443226984,0.027153830661440927,0.9999870090506636,0.022072772559789348,0.08096808251421095,-0.0050390686019539215,-0.2728095781944932,0.08098089634068537,0.960318337264779,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,21872,0.04405937322507498,0.02069798426269204,0.022119973183447553,0.0011585675159464896,0.0016095429771271466,0.027381596556044916,0.9999972071048883,0.023361388962382938,0.12413171010803718,-0.005261623372597363,-0.27589029277388144,0.09152413510120379,0.9552692246995472,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,22320,0.0457564254998994,0.02076540392818748,0.022174777295179544,0.0010855999741927475,0.001100587706102377,0.02779984871762104,0.9999998899648148,0.024991021571711923,0.17871805164633908,-0.005625071422441497,-0.28092132267617403,0.11085693151839461,0.9460796983428374,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,22476,0.0488799229450032,0.021617051105726693,0.02294599250805995,0.0010908312204223835,0.000700874758163673,0.028774489662034837,0.9999999543326008,0.027262871839276507,0.25481618193610167,-0.005828497153974887,-0.2837372435173483,0.14543810993531547,0.9298620334512341,False
GUT_GENOME001659_1,GUT_GENOME001659_00019,22567,0.0520237320313096,0.023617908817514428,0.025326642497724292,0.001291460831403979,0.0009169202637123982,0.03015605197138185,0.999907804317411,0.02840582321379517,0.29310059876354644,-0.004829409473657557,-0.26990737155395694,0.1587579502147152,0.9236898026634278,False
