contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME096083_12,GUT_GENOME096083_00078,65033,0.07243894983617198,0.07746741781882927,0.07728313804708488,0.0021627922734898004,0.6623760933982624,0.1070155096210751,1.0,-0.005028467982657284,-0.4343536107462912,-0.029732371573990224,-0.3897822210574251,0.3405932390208001,0.8434146062620111,False
GUT_GENOME096083_12,GUT_GENOME096083_00078,65053,0.07337533702668719,0.07720265620893194,0.0769866089019458,0.0023732672099472524,0.6238986463284462,0.10698893261232625,1.0,-0.0038273191822447428,-0.3651942372260661,-0.03000232371038046,-0.3920855905234013,0.28709794119921256,0.8662783769769618,False
GUT_GENOME096083_12,GUT_GENOME096083_00078,65180,0.0741337440168405,0.07747631387539734,0.07728380023187172,0.0023718000710330725,0.6075735815602096,0.10744713376565095,1.0,-0.0033425698585568403,-0.3372834908396951,-0.03016333353377923,-0.3934594085486932,0.26857045936849816,0.8743406411285404,False
GUT_GENOME096083_12,GUT_GENOME096083_00078,65206,0.07351826825621713,0.0774482704607424,0.07725849307048797,0.002383021655415933,0.6275197560610737,0.1077174975866199,1.0,-0.003930002204525274,-0.37110648847224453,-0.030459004516131927,-0.3959822243405338,0.294521947779877,0.863068709624657,False
GUT_GENOME096083_12,GUT_GENOME096083_00079,65498,0.0734041366224259,0.07888555241276009,0.07865233373824873,0.0023770751784039507,0.6752580170302769,0.10782370714328537,1.0,-0.00548141579033419,-0.4604332992957326,-0.029171373405036644,-0.3849954982327229,0.36022035675981623,0.8351781877621947,False
GUT_GENOME096083_12,GUT_GENOME096083_00080,66550,0.07476264266608178,0.0790638199184473,0.0788496462536973,0.002374710028692754,0.6382571752263495,0.1078081271241397,1.0,-0.004301177252365521,-0.39247789038860537,-0.028958480870442407,-0.3831789904240579,0.3008650331462904,0.860335786455583,False
GUT_GENOME096083_12,GUT_GENOME096083_00080,66623,0.07465388512936501,0.07978734913967366,0.07955845329314484,0.0024210159602041236,0.6630654957608821,0.10787033140424375,1.0,-0.005133464010308647,-0.4403990394991539,-0.028311878111098907,-0.37766184552421234,0.3365797835565313,0.8451088090754291,False
GUT_GENOME096083_12,GUT_GENOME096083_00080,66631,0.07539166035054576,0.08090033950285404,0.08062232109185512,0.002492517084519538,0.6745813574481893,0.1079727322853874,1.0,-0.0055086791523082795,-0.4620030607054227,-0.02735041119353228,-0.36945811885591184,0.3499461296897276,0.8394796319788088,False
GUT_GENOME096083_12,GUT_GENOME096083_00080,66732,0.0766361041297754,0.08211418077613714,0.08180354479868399,0.002526698819822396,0.6726345997053189,0.108182834915037,1.0,-0.00547807664636174,-0.4602410390985371,-0.02637929011635301,-0.36117201796835613,0.34226704063383573,0.842709047180465,False
GUT_GENOME096083_12,GUT_GENOME096083_00080,66805,0.0771691184850247,0.08288426450173256,0.08255058441329342,0.002627960935202296,0.6777036509299934,0.10819601338309878,1.0,-0.005715146016707862,-0.47389094586141345,-0.02564542896980536,-0.35491033995451504,0.3505339779760545,0.839232924905635,False
