contig,gene_id,site_pos,r2N,r2S,r2L,rL_std,rNrS_pval,r2G,r2G_pval,rNrS,rNrS_trans,r_rg,r_rg_transform,iLDS,iLDS_pval,significance
GUT_GENOME001297_1,GUT_GENOME001297_00011,8999,0.08184611113830494,0.07726641786404026,0.07795143231404146,0.0032004293354295985,0.3364801079825995,0.1175573688859139,1.0,0.004579693274264676,0.08576223220648829,-0.03960593657187243,-0.9312084049144228,0.8745042538563033,0.645808585147776,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9000,0.08409358567280306,0.07715773388382427,0.07769662458905752,0.0030741535676473085,0.2507745841418103,0.11831957048557379,1.0,0.006935851788978792,0.20736639367193394,-0.04062294589651627,-0.9561241216949317,0.957174157311408,0.6196583020120198,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9001,0.08574257530186911,0.07831921979010464,0.07911521198766085,0.003224018109021747,0.25335048767966406,0.12069863290960356,1.0,0.007423355511764471,0.23252704438809707,-0.04158342092194271,-0.9796548043822885,1.013792362121164,0.6023623038524666,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9003,0.08834100379912548,0.07769100343231987,0.0787603720074106,0.0032640679131625892,0.15862909965973765,0.12223862650574918,1.0,0.010650000366805606,0.3990580479236043,-0.04347825449833859,-1.0260763421122516,1.2120799854550561,0.545506808417887,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9005,0.08991312530855011,0.07635928008297509,0.07744973385186928,0.00325505233706979,0.10640616347551812,0.12364504093240124,1.0,0.013553845225575026,0.5489289572326269,-0.04619530708053196,-1.0926414275792786,1.4951882893509831,0.4735043664858558,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9018,0.09254166511115229,0.07838859227372609,0.07926280354182029,0.0032838490824092796,0.09668458814529718,0.12392127483198498,1.0,0.0141530728374262,0.5798558116064062,-0.04465847129016469,-1.0549904794875782,1.449237674063154,0.4845092107328143,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9019,0.09041555122606956,0.07837228575570625,0.07908989545984944,0.0032047222062357786,0.12332177380699105,0.12795382765386798,1.0,0.012043265470363315,0.4709661277744032,-0.048863932194018536,-1.1580200882363676,1.56281961826978,0.45776020166412823,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9025,0.07869712812954972,0.08108115593031291,0.08106048098413539,0.0033722873109256362,0.6069970669778004,0.13993247318123667,1.0,-0.0023840278007631888,-0.2736437486388895,-0.05887199219710128,-1.403207602762328,2.043872477619143,0.359897417758284,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9094,0.0781555520381801,0.0854670744192899,0.08474807544100166,0.0034835618430208684,0.7845590183729343,0.1421486847299202,1.0,-0.007311522381109797,-0.5279576425584087,-0.05740060928891855,-1.3671601851746857,2.1478662442627137,0.3416620726292329,False
GUT_GENOME001297_1,GUT_GENOME001297_00011,9150,0.0768396940361998,0.08849068745317792,0.0874830589047785,0.0035097456302446753,0.9030814337273578,0.14647739317305786,1.0,-0.011650993416978131,-0.7519229374334803,-0.05899433426827935,-1.4062048618060259,2.5428002172054978,0.28043870213807504,False
